bits,compute_interpretation,ip_bias,ip_relative_mse,ip_variance,k_bits,key_relative_mse,key_scale_granularity,kv_quantizer,kv_rotation,layer,layer_index,method,method_key,output_cosine,output_relative_mse,rotation_backend,score_mse,score_relative_mse,softmax_kl,topk_overlap,v_bits,value_relative_mse,value_scale_granularity
K3V4,randomized Hadamard key bit reduction,1.0097898244857788,0.008178086951375008,16.799358367919922,3,0.03171540051698685,per_token_head_rms,gaussian_lloyd_max,headwise_randomized_hadamard,model.layers.4.self_attn,4,hadamard_lm,randhadamard_lm_k3v4,0.9594299793243408,0.08713411539793015,randomized_hadamard,0.27842238545417786,0.008178086951375008,0.012460657395422459,0.847412109375,4,0.009559456259012222,per_token_head_rms
K4V3,randomized Hadamard value bit reduction,0.281034916639328,0.002260468900203705,4.846299648284912,4,0.00880471058189869,per_token_head_rms,gaussian_lloyd_max,headwise_randomized_hadamard,model.layers.4.self_attn,4,hadamard_lm,randhadamard_lm_k4v3,0.9756188988685608,0.04823746532201767,randomized_hadamard,0.07695750147104263,0.002260468900203705,0.0036512946244329214,0.9117187261581421,3,0.03433743491768837,per_token_head_rms
K4V4,dense random orthogonal non-uniform KV fake quant,0.2720526456832886,0.0019884880166500807,4.258655548095703,4,0.009270977228879929,per_token_head_rms,gaussian_lloyd_max,headwise_random_orthogonal,model.layers.4.self_attn,4,hadamard_lm,randortho_lm_k4v4,0.98459392786026,0.03156570717692375,random_orthogonal,0.0676979348063469,0.0019884880166500807,0.003294639987871051,0.9144531488418579,4,0.009099656715989113,per_token_head_rms
K3V4,dense random orthogonal key bit reduction,1.0597774982452393,0.008020240813493729,16.351978302001953,3,0.03407732769846916,per_token_head_rms,gaussian_lloyd_max,headwise_random_orthogonal,model.layers.4.self_attn,4,hadamard_lm,randortho_lm_k3v4,0.9527333378791809,0.10634450614452362,random_orthogonal,0.2730485200881958,0.008020240813493729,0.014002240262925625,0.837695300579071,4,0.009099656715989113,per_token_head_rms
K4V3,dense random orthogonal value bit reduction,0.2720526456832886,0.0019884880166500807,4.258655548095703,4,0.009270977228879929,per_token_head_rms,gaussian_lloyd_max,headwise_random_orthogonal,model.layers.4.self_attn,4,hadamard_lm,randortho_lm_k4v3,0.9759154915809631,0.04830823466181755,random_orthogonal,0.0676979348063469,0.0019884880166500807,0.003294639987871051,0.9144531488418579,3,0.03296497091650963,per_token_head_rms
K16V16,baseline,0.0,0.0,0.0,16,0.0,none,none,none,model.layers.5.self_attn,5,fp16,fp16,1.0000399351119995,0.0,,0.0,0.0,0.0,1.0,16,0.0,none
K4V4,uniform fake quant KV baseline,0.206171452999115,0.010805192403495312,20.728919982910156,4,0.04249517619609833,per_token_head_absmax,absmax_per_token_head,none,model.layers.5.self_attn,5,absmax,absmax_k4v4,0.9156435132026672,0.20288880169391632,none,0.32455354928970337,0.010805192403495312,0.02264433726668358,0.833569347858429,4,0.015384798869490623,per_token_head_absmax
K4V4,rotated non-uniform KV fake quant,0.11683065444231033,0.002284761518239975,4.378475189208984,4,0.008556400425732136,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.5.self_attn,5,hadamard_lm,hadamard_lm_k4v4,0.9793687462806702,0.04676983878016472,hadamard,0.06862695515155792,0.002284761518239975,0.005123017355799675,0.9071289300918579,4,0.009401187300682068,per_token_head_rms
K3V4,rotated non-uniform key bit reduction,0.8016536235809326,0.008897621184587479,16.461748123168945,3,0.031104257330298424,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.5.self_attn,5,hadamard_lm,hadamard_lm_k3v4,0.9356927275657654,0.1388513296842575,hadamard,0.2672562003135681,0.008897621184587479,0.01763674058020115,0.8395019769668579,4,0.009401187300682068,per_token_head_rms
K4V3,rotated non-uniform value bit reduction,0.11683065444231033,0.002284761518239975,4.378475189208984,4,0.008556400425732136,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.5.self_attn,5,hadamard_lm,hadamard_lm_k4v3,0.9709469676017761,0.0625336766242981,hadamard,0.06862695515155792,0.002284761518239975,0.005123017355799675,0.9071289300918579,3,0.03446611762046814,per_token_head_rms
