a_bits,activation_quantizer_type,activation_scale_granularity,bits,block_size,compute_interpretation,cosine,layer,method,method_key,mxfp4_group_size,relative_mse,rotation,rotation_backend,rotation_seed,site,sqnr_db,w_bits,weight_quantizer_type,weight_scale_granularity
4,uniform integer-like,last_dim_block_absmax,W4A4,128,block-wise uniform fake quant; future INT mapping is plausible,0.9981100559234619,model.layers.1.self_attn.k_proj,direct_absmax,direct_absmax_w4a4,,0.003872077912092209,none,none,,linear,24.120559692382812,4,uniform integer-like,last_dim_block_absmax
4,uniform integer-like,last_dim_block_absmax,W4A4,128,rotation + uniform fake quant; needs rotation handling,0.9995217323303223,model.layers.1.self_attn.k_proj,rot_absmax,rot_absmax_w4a4,,0.000957463460508734,block_hadamard_last_dim,hadamard,0,linear,30.188777923583984,4,uniform integer-like,last_dim_block_absmax
4,non-uniform codebook,block_rms,W4A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9996330738067627,model.layers.1.self_attn.k_proj,rot_lm,rot_lm_w4a4,,0.0008484063437208533,block_hadamard_last_dim,hadamard,0,linear,30.713960647583008,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9991111159324646,model.layers.1.self_attn.k_proj,rot_lm,rot_lm_w3a4,,0.0027304538525640965,block_hadamard_last_dim,hadamard,0,linear,25.637649536132812,3,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W4A3,128,non-uniform codebook fake quant; not native INT GEMM,0.9991768002510071,model.layers.1.self_attn.k_proj,rot_lm,rot_lm_w4a3,,0.002101495862007141,block_hadamard_last_dim,hadamard,0,linear,26.77471351623535,4,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W3A3,128,non-uniform codebook fake quant; not native INT GEMM,0.9986429214477539,model.layers.1.self_attn.k_proj,rot_lm,rot_lm_w3a3,,0.004416672512888908,block_hadamard_last_dim,hadamard,0,linear,23.549049377441406,3,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W2A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9971839785575867,model.layers.1.self_attn.k_proj,rot_lm,rot_lm_w2a4,,0.016333848237991333,block_hadamard_last_dim,hadamard,0,linear,17.86911392211914,2,non-uniform codebook,block_rms
4,uniform integer-like,last_dim_block_absmax,W4A4,128,block-wise uniform fake quant; future INT mapping is plausible,0.915560781955719,model.layers.1.self_attn.v_proj,direct_absmax,direct_absmax_w4a4,,0.16647329926490784,none,none,,linear,7.786554336547852,4,uniform integer-like,last_dim_block_absmax
4,uniform integer-like,last_dim_block_absmax,W4A4,128,rotation + uniform fake quant; needs rotation handling,0.9732177257537842,model.layers.1.self_attn.v_proj,rot_absmax,rot_absmax_w4a4,,0.05594942718744278,block_hadamard_last_dim,hadamard,0,linear,12.52204418182373,4,uniform integer-like,last_dim_block_absmax
4,non-uniform codebook,block_rms,W4A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9798224568367004,model.layers.1.self_attn.v_proj,rot_lm,rot_lm_w4a4,,0.04074949026107788,block_hadamard_last_dim,hadamard,0,linear,13.898777961730957,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,128,non-uniform codebook fake quant; not native INT GEMM,0.950494110584259,model.layers.1.self_attn.v_proj,rot_lm,rot_lm_w3a4,,0.1001952588558197,block_hadamard_last_dim,hadamard,0,linear,9.991527557373047,3,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W4A3,128,non-uniform codebook fake quant; not native INT GEMM,0.9556342959403992,model.layers.1.self_attn.v_proj,rot_lm,rot_lm_w4a3,,0.09067313373088837,block_hadamard_last_dim,hadamard,0,linear,10.425213813781738,4,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W3A3,128,non-uniform codebook fake quant; not native INT GEMM,0.9275150299072266,model.layers.1.self_attn.v_proj,rot_lm,rot_lm_w3a3,,0.14827848970890045,block_hadamard_last_dim,hadamard,0,linear,8.28921890258789,3,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W2A4,128,non-uniform codebook fake quant; not native INT GEMM,0.8648062348365784,model.layers.1.self_attn.v_proj,rot_lm,rot_lm_w2a4,,0.27566856145858765,block_hadamard_last_dim,hadamard,0,linear,5.596127986907959,2,non-uniform codebook,block_rms
4,uniform integer-like,last_dim_block_absmax,W4A4,128,block-wise uniform fake quant; future INT mapping is plausible,0.9859447479248047,model.layers.1.self_attn.o_proj,direct_absmax,direct_absmax_w4a4,,0.028668107464909554,none,none,,linear,15.426010131835938,4,uniform integer-like,last_dim_block_absmax
4,uniform integer-like,last_dim_block_absmax,W4A4,128,rotation + uniform fake quant; needs rotation handling,0.9920722842216492,model.layers.1.self_attn.o_proj,rot_absmax,rot_absmax_w4a4,,0.016047611832618713,block_hadamard_last_dim,hadamard,0,linear,17.94589614868164,4,uniform integer-like,last_dim_block_absmax
4,non-uniform codebook,block_rms,W4A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9944946765899658,model.layers.1.self_attn.o_proj,rot_lm,rot_lm_w4a4,,0.011005297303199768,block_hadamard_last_dim,hadamard,0,linear,19.583982467651367,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9870285391807556,model.layers.1.self_attn.o_proj,rot_lm,rot_lm_w3a4,,0.02597307786345482,block_hadamard_last_dim,hadamard,0,linear,15.854764938354492,3,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W4A3,128,non-uniform codebook fake quant; not native INT GEMM,0.9870665073394775,model.layers.1.self_attn.o_proj,rot_lm,rot_lm_w4a3,,0.025865761563181877,block_hadamard_last_dim,hadamard,0,linear,15.872746467590332,4,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W3A3,128,non-uniform codebook fake quant; not native INT GEMM,0.9795309901237488,model.layers.1.self_attn.o_proj,rot_lm,rot_lm_w3a3,,0.04101071134209633,block_hadamard_last_dim,hadamard,0,linear,13.871026992797852,3,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W2A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9610516428947449,model.layers.1.self_attn.o_proj,rot_lm,rot_lm_w2a4,,0.07811206579208374,block_hadamard_last_dim,hadamard,0,linear,11.072818756103516,2,non-uniform codebook,block_rms
4,uniform integer-like,last_dim_block_absmax,W4A4,128,block-wise uniform fake quant; future INT mapping is plausible,0.9899477362632751,model.layers.1.mlp.gate_proj,direct_absmax,direct_absmax_w4a4,,0.020573081448674202,none,none,,linear,16.867006301879883,4,uniform integer-like,last_dim_block_absmax
4,uniform integer-like,last_dim_block_absmax,W4A4,128,rotation + uniform fake quant; needs rotation handling,0.9920271039009094,model.layers.1.mlp.gate_proj,rot_absmax,rot_absmax_w4a4,,0.016264017671346664,block_hadamard_last_dim,hadamard,0,linear,17.88772201538086,4,uniform integer-like,last_dim_block_absmax
4,non-uniform codebook,block_rms,W4A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9945152401924133,model.layers.1.mlp.gate_proj,rot_lm,rot_lm_w4a4,,0.011069448664784431,block_hadamard_last_dim,hadamard,0,linear,19.558738708496094,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9870393872261047,model.layers.1.mlp.gate_proj,rot_lm,rot_lm_w3a4,,0.026061659678816795,block_hadamard_last_dim,hadamard,0,linear,15.83997917175293,3,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W4A3,128,non-uniform codebook fake quant; not native INT GEMM,0.9871569871902466,model.layers.1.mlp.gate_proj,rot_lm,rot_lm_w4a3,,0.025822654366493225,block_hadamard_last_dim,hadamard,0,linear,15.87999153137207,4,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W3A3,128,non-uniform codebook fake quant; not native INT GEMM,0.9796538949012756,model.layers.1.mlp.gate_proj,rot_lm,rot_lm_w3a3,,0.040894974023103714,block_hadamard_last_dim,hadamard,0,linear,13.88330078125,3,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W2A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9606515765190125,model.layers.1.mlp.gate_proj,rot_lm,rot_lm_w2a4,,0.07931539416313171,block_hadamard_last_dim,hadamard,0,linear,11.006425857543945,2,non-uniform codebook,block_rms
4,uniform integer-like,last_dim_block_absmax,W4A4,128,block-wise uniform fake quant; future INT mapping is plausible,0.9866659045219421,model.layers.1.mlp.up_proj,direct_absmax,direct_absmax_w4a4,,0.027441568672657013,none,none,,linear,15.615910530090332,4,uniform integer-like,last_dim_block_absmax
4,uniform integer-like,last_dim_block_absmax,W4A4,128,rotation + uniform fake quant; needs rotation handling,0.989393413066864,model.layers.1.mlp.up_proj,rot_absmax,rot_absmax_w4a4,,0.021738456562161446,block_hadamard_last_dim,hadamard,0,linear,16.62771224975586,4,uniform integer-like,last_dim_block_absmax
4,non-uniform codebook,block_rms,W4A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9926641583442688,model.layers.1.mlp.up_proj,rot_lm,rot_lm_w4a4,,0.014746388420462608,block_hadamard_last_dim,hadamard,0,linear,18.313142776489258,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9826974868774414,model.layers.1.mlp.up_proj,rot_lm,rot_lm_w3a4,,0.03446635603904724,block_hadamard_last_dim,hadamard,0,linear,14.626046180725098,3,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W4A3,128,non-uniform codebook fake quant; not native INT GEMM,0.9828913807868958,model.layers.1.mlp.up_proj,rot_lm,rot_lm_w4a3,,0.03408478572964668,block_hadamard_last_dim,hadamard,0,linear,14.674394607543945,4,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W3A3,128,non-uniform codebook fake quant; not native INT GEMM,0.972965657711029,model.layers.1.mlp.up_proj,rot_lm,rot_lm_w3a3,,0.05355580151081085,block_hadamard_last_dim,hadamard,0,linear,12.711935043334961,3,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W2A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9485651254653931,model.layers.1.mlp.up_proj,rot_lm,rot_lm_w2a4,,0.10076209157705307,block_hadamard_last_dim,hadamard,0,linear,9.967028617858887,2,non-uniform codebook,block_rms
4,uniform integer-like,last_dim_block_absmax,W4A4,128,block-wise uniform fake quant; future INT mapping is plausible,0.9997519254684448,model.layers.1.mlp.down_proj,direct_absmax,direct_absmax_w4a4,,0.0008172544767148793,none,none,,linear,30.876426696777344,4,uniform integer-like,last_dim_block_absmax
