bits,compute_interpretation,ip_bias,ip_relative_mse,ip_variance,k_bits,key_relative_mse,key_scale_granularity,kv_quantizer,kv_rotation,layer,layer_index,method,method_key,output_cosine,output_relative_mse,score_mse,score_relative_mse,softmax_kl,topk_overlap,v_bits,value_relative_mse,value_scale_granularity
K3V3,aggressive rotated non-uniform KV fake quant,0.9154723286628723,0.006610747892409563,22.930421829223633,3,0.03084670752286911,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.6.self_attn,6,hadamard_lm,hadamard_lm_k3v3,0.9877171516418457,0.024546852335333824,0.3713829815387726,0.006610747892409563,0.1535240113735199,0.7131592035293579,3,0.032973699271678925,per_token_head_rms
K2V4,key 2-bit failure boundary,3.8096508979797363,0.024607669562101364,73.96182250976562,2,0.10423606634140015,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.6.self_attn,6,hadamard_lm,hadamard_lm_k2v4,0.9504358172416687,0.10175300389528275,1.3824260234832764,0.024607669562101364,0.44418251514434814,0.5724853277206421,4,0.008990591391921043,per_token_head_rms
K16V16,baseline,0.0,0.0,0.0,16,0.0,none,none,none,model.layers.7.self_attn,7,fp16,fp16,1.0000159740447998,0.0,0.0,0.0,0.0,1.0,16,0.0,none
K4V4,uniform fake quant KV baseline,-0.426669180393219,0.015490683726966381,32.0139274597168,4,0.047105055302381516,per_token_head_absmax,absmax_per_token_head,none,model.layers.7.self_attn,7,absmax,absmax_k4v4,0.9897087216377258,0.020920077338814735,0.5030620694160461,0.015490683726966381,0.21342849731445312,0.6119140386581421,4,0.012588816694915295,per_token_head_absmax
K3V4,uniform fake quant with lower key bits,-0.8754966855049133,0.06640602648258209,137.2523651123047,3,0.21067211031913757,per_token_head_absmax,absmax_per_token_head,none,model.layers.7.self_attn,7,absmax,absmax_k3v4,0.958361029624939,0.08713380247354507,2.1565446853637695,0.06640602648258209,0.7354087829589844,0.3611816465854645,4,0.012588816694915295,per_token_head_absmax
K4V3,uniform fake quant with lower value bits,-0.426669180393219,0.015490683726966381,32.0139274597168,4,0.047105055302381516,per_token_head_absmax,absmax_per_token_head,none,model.layers.7.self_attn,7,absmax,absmax_k4v3,0.9870837926864624,0.026515154168009758,0.5030620694160461,0.015490683726966381,0.21342849731445312,0.6119140386581421,3,0.06772346794605255,per_token_head_absmax
K4V4,rotated non-uniform KV fake quant,0.3492918014526367,0.002875327132642269,5.854099750518799,4,0.008662283420562744,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.7.self_attn,7,hadamard_lm,hadamard_lm_k4v4,0.9977273941040039,0.004573976621031761,0.09337663650512695,0.002875327132642269,0.04313311353325844,0.7926269769668579,4,0.009156397543847561,per_token_head_rms
K3V4,rotated non-uniform key bit reduction,0.7298303246498108,0.011792214587330818,23.97638702392578,3,0.030995836481451988,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.7.self_attn,7,hadamard_lm,hadamard_lm_k3v4,0.9923407435417175,0.01528588030487299,0.3829537630081177,0.011792214587330818,0.1707136482000351,0.608325183391571,4,0.009156397543847561,per_token_head_rms
K4V3,rotated non-uniform value bit reduction,0.3492918014526367,0.002875327132642269,5.854099750518799,4,0.008662283420562744,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.7.self_attn,7,hadamard_lm,hadamard_lm_k4v3,0.9965474605560303,0.007212867494672537,0.09337663650512695,0.002875327132642269,0.04313311353325844,0.7926269769668579,3,0.032689694315195084,per_token_head_rms
K3V3,aggressive rotated non-uniform KV fake quant,0.7298303246498108,0.011792214587330818,23.97638702392578,3,0.030995836481451988,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.7.self_attn,7,hadamard_lm,hadamard_lm_k3v3,0.9907646775245667,0.018532205373048782,0.3829537630081177,0.011792214587330818,0.1707136482000351,0.608325183391571,3,0.032689694315195084,per_token_head_rms
