activation_bits,bits,block_size,codebook,compute_interpretation,cosine,element_format,layer_index,levels,method,mxfp4_group_size,original_finite_ratio,original_inf_count,original_kurtosis,original_max_mean_ratio,original_mean,original_nan_count,original_numel,original_outlier_ratio_3sigma,original_std,quantizer_type,relative_mse,rotated_finite_ratio,rotated_inf_count,rotated_kurtosis,rotated_max_mean_ratio,rotated_mean,rotated_nan_count,rotated_numel,rotated_outlier_ratio_3sigma,rotated_std,rotation,rotation_backend,rotation_seed,scale_count,scale_format,scale_granularity,site,sqnr_db
3,3,32,gaussian_lloyd_max_standard_normal,non-uniform codebook fake quant; not native INT GEMM,0.9848299622535706,,18,8,rot_lm,,1.0,0,10.808913230895996,11.433526992797852,-0.20793059468269348,0,131072,0.01641845703125,2.5350615978240967,non-uniform codebook,0.03035697527229786,1.0,0,3.2580788135528564,5.36790657043457,-0.013690732419490814,0,131072,0.00463104248046875,2.54353666305542,block_hadamard_last_dim,hadamard,11,,,block_rms,k_proj_out,15.17741584777832
4,4,32,,MXFP4 E2M1 fake quant with 32-value group scales,0.9930456876754761,E2M1,18,,mxfp4,32,1.0,0,5.474451065063477,13.842018127441406,-0.0032906383275985718,0,131072,0.01259613037109375,0.38963401317596436,mxfp4_e2m1_fake_quant,0.013866471126675606,1.0,0,5.351314067840576,11.956892013549805,-0.0197562575340271,0,131072,0.01221466064453125,0.3891473412513733,none,none,,4096,E8M0_like_power2,group_power2,v_proj_out,18.580339431762695
4,4,32,,Hadamard rotation + MXFP4 E2M1 fake quant,0.9931119680404663,E2M1,18,,rot_mxfp4,32,1.0,0,5.474451065063477,13.842018127441406,-0.0032906383275985718,0,131072,0.01259613037109375,0.38963401317596436,mxfp4_e2m1_fake_quant,0.013768523000180721,1.0,0,5.351314067840576,11.956892013549805,-0.0197562575340271,0,131072,0.01221466064453125,0.3891473412513733,block_hadamard_last_dim,hadamard,11,4096,E8M0_like_power2,group_power2,v_proj_out,18.611125946044922
4,4,32,gaussian_lloyd_max_standard_normal,non-uniform codebook fake quant; not native INT GEMM,0.9954349398612976,,18,16,rot_lm,,1.0,0,5.474451065063477,13.842018127441406,-0.0032906383275985718,0,131072,0.01259613037109375,0.38963401317596436,non-uniform codebook,0.00910604652017355,1.0,0,5.351314067840576,11.956892013549805,-0.0197562575340271,0,131072,0.01221466064453125,0.3891473412513733,block_hadamard_last_dim,hadamard,11,,,block_rms,v_proj_out,20.406702041625977
3,3,32,gaussian_lloyd_max_standard_normal,non-uniform codebook fake quant; not native INT GEMM,0.9833936095237732,,18,8,rot_lm,,1.0,0,5.474451065063477,13.842018127441406,-0.0032906383275985718,0,131072,0.01259613037109375,0.38963401317596436,non-uniform codebook,0.03294636681675911,1.0,0,5.351314067840576,11.956892013549805,-0.0197562575340271,0,131072,0.01221466064453125,0.3891473412513733,block_hadamard_last_dim,hadamard,11,,,block_rms,v_proj_out,14.821925163269043
4,4,32,,MXFP4 E2M1 fake quant with 32-value group scales,0.9924143552780151,E2M1,18,,mxfp4,32,1.0,0,4.914514064788818,22.51456069946289,-4.812219412997365e-05,0,1048576,0.0065059661865234375,0.417911559343338,mxfp4_e2m1_fake_quant,0.015204069204628468,1.0,0,3.0867063999176025,6.62811279296875,-0.0026815521996468306,0,1048576,0.0031805038452148438,0.4179026484489441,none,none,,32768,E8M0_like_power2,group_power2,ffn_input,18.180400848388672
4,4,32,,Hadamard rotation + MXFP4 E2M1 fake quant,0.9938962459564209,E2M1,18,,rot_mxfp4,32,1.0,0,4.914514064788818,22.51456069946289,-4.812219412997365e-05,0,1048576,0.0065059661865234375,0.417911559343338,mxfp4_e2m1_fake_quant,0.013486011885106564,1.0,0,3.0867063999176025,6.62811279296875,-0.0026815521996468306,0,1048576,0.0031805038452148438,0.4179026484489441,block_hadamard_last_dim,hadamard,11,32768,E8M0_like_power2,group_power2,ffn_input,18.70116424560547
4,4,32,gaussian_lloyd_max_standard_normal,non-uniform codebook fake quant; not native INT GEMM,0.9956151247024536,,18,16,rot_lm,,1.0,0,4.914514064788818,22.51456069946289,-4.812219412997365e-05,0,1048576,0.0065059661865234375,0.417911559343338,non-uniform codebook,0.008853749372065067,1.0,0,3.0867063999176025,6.62811279296875,-0.0026815521996468306,0,1048576,0.0031805038452148438,0.4179026484489441,block_hadamard_last_dim,hadamard,11,,,block_rms,ffn_input,20.52872657775879
3,3,32,gaussian_lloyd_max_standard_normal,non-uniform codebook fake quant; not native INT GEMM,0.9838144183158875,,18,8,rot_lm,,1.0,0,4.914514064788818,22.51456069946289,-4.812219412997365e-05,0,1048576,0.0065059661865234375,0.417911559343338,non-uniform codebook,0.03223232924938202,1.0,0,3.0867063999176025,6.62811279296875,-0.0026815521996468306,0,1048576,0.0031805038452148438,0.4179026484489441,block_hadamard_last_dim,hadamard,11,,,block_rms,ffn_input,14.917083740234375
4,4,32,,MXFP4 E2M1 fake quant with 32-value group scales,0.9891008734703064,E2M1,18,,mxfp4,32,1.0,0,340.5298156738281,171.87306213378906,0.00044203989091329277,0,2883584,0.013164520263671875,0.1092989519238472,mxfp4_e2m1_fake_quant,0.023523027077317238,1.0,0,13.458885192871094,25.14788055419922,-0.00045184502960182726,0,2883584,0.011719790287315845,0.10929897427558899,none,none,,90112,E8M0_like_power2,group_power2,ffn_intermediate,16.28506851196289
