a_bits,compute_interpretation,ip_bias,ip_relative_mse,ip_variance,k_bits,k_proj_relative_mse,key_relative_mse,kv_bits,kv_method,kv_rotation_backend,layer,layer_index,layer_output_cosine,layer_output_relative_mse,linear_bits,linear_method,linear_rotation_backend,method,method_key,output_cosine,output_relative_mse,pre_o_output_cosine,pre_o_output_relative_mse,projection_cosine,projection_relative_mse,q_proj_relative_mse,score_mse,score_relative_mse,softmax_kl,topk_overlap,v_bits,v_proj_relative_mse,value_path,value_relative_mse,w_bits
16,KV-only HLM K4V4 with value rotation absorbed into o_proj,0.08991822600364685,0.0037110536359250546,2.331153154373169,4,4.1980918297213066e-08,0.009811338037252426,K4V4,hadamard_lm,hadamard,model.layers.1.self_attn,1,0.9881266951560974,0.023613806813955307,FP16,fp16,none,attn_kv_hlm_k4v4,attn_kv_hlm_k4v4,0.9862654805183411,0.027396727353334427,0.9862636923789978,0.027396032586693764,1.0000011324882507,4.194070513108272e-08,4.1870617195627347e-08,0.03655059635639191,0.0037110536359250546,0.010760251432657242,0.926025390625,4,4.1970579900407756e-08,o_proj_absorb,0.008697360754013062,16
4,MXFP4 W4A4 linear fake quant plus HLM K4V4,1.7511560916900635,0.026822157204151154,13.84062385559082,4,0.015217702835798264,0.024922022596001625,K4V4,hadamard_lm,hadamard,model.layers.1.self_attn,1,0.9103655815124512,0.17264911532402039,W4A4,mxfp4,none,attn_mxfp4_w4a4_hlm_k4v4,attn_mxfp4_w4a4_hlm_k4v4,0.8569299578666687,0.28058406710624695,0.856927752494812,0.2805846929550171,0.9776656230290731,0.04533167245487372,0.017208663746714592,0.26417452096939087,0.026822157204151154,0.035357534885406494,0.8854736089706421,4,0.1035686507821083,o_proj_absorb,0.1110781654715538,4
4,rotated LM W4A4 plus HLM K4V4 with value rotation absorbed into o_proj,0.665898323059082,0.006823914125561714,3.8579888343811035,4,0.0008922541746869683,0.010728058405220509,K4V4,hadamard_lm,hadamard,model.layers.1.self_attn,1,0.8648726940155029,0.3004189729690552,W4A4,rot_lm,hadamard,attn_rot_lm_w4a4_hlm_k4v4,attn_rot_lm_w4a4_hlm_k4v4,0.6531463265419006,1.2263236045837402,0.6531451940536499,1.2263226509094238,0.9636613726615906,0.08415948417192946,0.002399429213255644,0.06720951944589615,0.006823914125561714,0.014444215223193169,0.915478527545929,4,0.24918676912784576,o_proj_absorb,0.2577706277370453,4
4,rotated LM W3A4 plus HLM K3V4 with value rotation absorbed into o_proj,1.4139249324798584,0.021709393709897995,11.685189247131348,3,0.0025586746633052826,0.03802308440208435,K3V4,hadamard_lm,hadamard,model.layers.1.self_attn,1,0.6876220703125,0.7851446866989136,W3A4,rot_lm,hadamard,attn_rot_lm_w3a4_hlm_k3v4,attn_rot_lm_w3a4_hlm_k3v4,0.4230586588382721,3.4276962280273438,0.4230588972568512,3.42769193649292,0.9287939270337423,0.18748718484615287,0.006031367462128401,0.21381832659244537,0.021709393709897995,0.04096345603466034,0.8647216558456421,4,0.5538715124130249,o_proj_absorb,0.5587705969810486,3
4,randomized Hadamard LM W4A4 plus randomized HLM K4V4,0.8162261843681335,0.0071585350669920444,3.8461101055145264,4,0.0009425434982404113,0.010209167376160622,K4V4,hadamard_lm,randomized_hadamard,model.layers.1.self_attn,1,0.8691703677177429,0.290709525346756,W4A4,randhadamard_lm,randomized_hadamard,attn_randhadamard_lm_w4a4_hlm_k4v4,attn_randhadamard_lm_w4a4_hlm_k4v4,0.6553528308868408,1.2183175086975098,0.6553518772125244,1.218315839767456,0.9637098908424377,0.08481536956969649,0.0023900908417999744,0.07050523906946182,0.0071585350669920444,0.014336228370666504,0.915600597858429,4,0.2511134743690491,o_proj_absorb,0.25773903727531433,4
4,randomized Hadamard LM W3A4 plus randomized HLM K3V4,2.016937494277954,0.02601400390267372,12.329717636108398,3,0.0027122520841658115,0.036817509680986404,K3V4,hadamard_lm,randomized_hadamard,model.layers.1.self_attn,1,0.7033267021179199,0.7181441783905029,W3A4,randhadamard_lm,randomized_hadamard,attn_randhadamard_lm_w3a4_hlm_k3v4,attn_randhadamard_lm_w3a4_hlm_k3v4,0.4287858009338379,3.265916585922241,0.4287850260734558,3.265915870666504,0.9300850033760071,0.18030611410116157,0.0057812826707959175,0.2562149167060852,0.02601400390267372,0.046609632670879364,0.860766589641571,4,0.532424807548523,o_proj_absorb,0.5378692746162415,3
4,dense random orthogonal LM W4A4 plus random-orthogonal K4V4,0.7074136734008789,0.007243075408041477,4.06519079208374,4,0.001430958160199225,0.010135509073734283,K4V4,hadamard_lm,random_orthogonal,model.layers.1.self_attn,1,0.8532631397247314,0.32723507285118103,W4A4,randortho_lm,random_orthogonal,attn_randortho_lm_w4a4_hlm_k4v4,attn_randortho_lm_w4a4_hlm_k4v4,0.6314531564712524,1.3385899066925049,0.6314510107040405,1.3385919332504272,0.9612216949462891,0.09086152589103828,0.0024654772132635117,0.07133788615465164,0.007243075408041477,0.014462442137300968,0.9192138910293579,4,0.2686881422996521,o_proj_absorb,0.2763437330722809,4
4,dense random orthogonal LM W3A4 plus random-orthogonal K3V4,1.9053614139556885,0.030039185658097267,15.304598808288574,3,0.004107621498405933,0.0350351519882679,K3V4,hadamard_lm,random_orthogonal,model.layers.1.self_attn,1,0.6861255168914795,0.829866349697113,W3A4,randortho_lm,random_orthogonal,attn_randortho_lm_w3a4_hlm_k3v4,attn_randortho_lm_w3a4_hlm_k3v4,0.39337635040283203,3.9574778079986572,0.3933747410774231,3.9574811458587646,0.9224962592124939,0.21556927046428123,0.006744693964719772,0.2958593964576721,0.030039185658097267,0.0472102053463459,0.854541003704071,4,0.635855495929718,o_proj_absorb,0.6379696726799011,3
16,baseline,0.0,0.0,0.0,16,0.0,0.0,K16V16,fp16,,model.layers.2.self_attn,2,1.0,0.0,FP16,fp16,,fp16,fp16,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,0.0,reference,0.0,16
16,KV-only HLM K4V4 with value rotation absorbed into o_proj,0.13148361444473267,0.006495258305221796,1.7403560876846313,4,4.233670125586286e-08,0.009290311485528946,K4V4,hadamard_lm,hadamard,model.layers.2.self_attn,2,0.9906140565872192,0.018716225400567055,FP16,fp16,none,attn_kv_hlm_k4v4,attn_kv_hlm_k4v4,0.987838864326477,0.024299295619130135,0.987835705280304,0.024299796670675278,1.0000003576278687,4.310624746040048e-08,4.336669334747967e-08,0.027463188394904137,0.006495258305221796,0.007800105027854443,0.9369872808456421,4,4.3615347777858915e-08,o_proj_absorb,0.009321769699454308,16
