a_bits,activation_quantizer_type,activation_scale_granularity,bits,block_size,compute_interpretation,cosine,layer,method,method_key,mxfp4_group_size,relative_mse,rotation,rotation_backend,rotation_seed,site,sqnr_db,w_bits,weight_quantizer_type,weight_scale_granularity
4,non-uniform codebook,block_rms,W4A4,128,dense random orthogonal + non-uniform codebook fake quant,0.9968024492263794,model.layers.0.mlp.gate_proj,randortho_lm,randortho_lm_w4a4,,0.006673215888440609,block_random_orthogonal_last_dim,random_orthogonal,11,linear,21.756649017333984,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,128,dense random orthogonal + non-uniform codebook fake quant,0.9923371076583862,model.layers.0.mlp.gate_proj,randortho_lm,randortho_lm_w3a4,,0.016235126182436943,block_random_orthogonal_last_dim,random_orthogonal,11,linear,17.895442962646484,3,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W4A3,128,dense random orthogonal + non-uniform codebook fake quant,0.9922777414321899,model.layers.0.mlp.gate_proj,randortho_lm,randortho_lm_w4a3,,0.016570553183555603,block_random_orthogonal_last_dim,random_orthogonal,11,linear,17.806629180908203,4,non-uniform codebook,block_rms
4,uniform integer-like,last_dim_block_absmax,W4A4,128,block-wise uniform fake quant; future INT mapping is plausible,0.9750671982765198,model.layers.0.mlp.up_proj,direct_absmax,direct_absmax_w4a4,,0.0503336563706398,none,none,,linear,12.981414794921875,4,uniform integer-like,last_dim_block_absmax
4,mxfp4_e2m1_fake_quant,group_power2,W4A4,128,MXFP4 E2M1 fake quant with 32-value group scales,0.9874585270881653,model.layers.0.mlp.up_proj,mxfp4,mxfp4_w4a4,32,0.025044243782758713,none,none,,linear,16.012920379638672,4,mxfp4_e2m1_fake_quant,group_power2
4,uniform integer-like,last_dim_block_absmax,W4A4,128,rotation + uniform fake quant; needs rotation handling,0.9921140074729919,model.layers.0.mlp.up_proj,rot_absmax,rot_absmax_w4a4,,0.016078894957900047,block_hadamard_last_dim,hadamard,11,linear,17.937437057495117,4,uniform integer-like,last_dim_block_absmax
4,non-uniform codebook,block_rms,W4A4,128,non-uniform codebook fake quant; not native INT GEMM,0.994251549243927,model.layers.0.mlp.up_proj,rot_lm,rot_lm_w4a4,,0.011572875082492828,block_hadamard_last_dim,hadamard,11,linear,19.36558723449707,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9863013029098511,model.layers.0.mlp.up_proj,rot_lm,rot_lm_w3a4,,0.027419181540608406,block_hadamard_last_dim,hadamard,11,linear,15.619455337524414,3,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W4A3,128,non-uniform codebook fake quant; not native INT GEMM,0.9867157936096191,model.layers.0.mlp.up_proj,rot_lm,rot_lm_w4a3,,0.026504332199692726,block_hadamard_last_dim,hadamard,11,linear,15.766831398010254,4,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W3A3,128,non-uniform codebook fake quant; not native INT GEMM,0.9787943959236145,model.layers.0.mlp.up_proj,rot_lm,rot_lm_w3a3,,0.042187660932540894,block_hadamard_last_dim,hadamard,11,linear,13.74814510345459,3,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W4A4,128,randomized Hadamard + non-uniform codebook fake quant,0.9942769408226013,model.layers.0.mlp.up_proj,randhadamard_lm,randhadamard_lm_w4a4,,0.011524902656674385,block_randomized_hadamard_last_dim,randomized_hadamard,11,linear,19.38362693786621,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,128,randomized Hadamard + non-uniform codebook fake quant,0.9861423373222351,model.layers.0.mlp.up_proj,randhadamard_lm,randhadamard_lm_w3a4,,0.027719423174858093,block_randomized_hadamard_last_dim,randomized_hadamard,11,linear,15.572157859802246,3,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W4A3,128,randomized Hadamard + non-uniform codebook fake quant,0.9867477416992188,model.layers.0.mlp.up_proj,randhadamard_lm,randhadamard_lm_w4a3,,0.026461318135261536,block_randomized_hadamard_last_dim,randomized_hadamard,11,linear,15.773885726928711,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W4A4,128,dense random orthogonal + non-uniform codebook fake quant,0.9940280318260193,model.layers.0.mlp.up_proj,randortho_lm,randortho_lm_w4a4,,0.012051446363329887,block_random_orthogonal_last_dim,random_orthogonal,11,linear,19.189607620239258,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,128,dense random orthogonal + non-uniform codebook fake quant,0.9859330654144287,model.layers.0.mlp.up_proj,randortho_lm,randortho_lm_w3a4,,0.028244782239198685,block_random_orthogonal_last_dim,random_orthogonal,11,linear,15.490617752075195,3,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W4A3,128,dense random orthogonal + non-uniform codebook fake quant,0.9858248829841614,model.layers.0.mlp.up_proj,randortho_lm,randortho_lm_w4a3,,0.028476806357502937,block_random_orthogonal_last_dim,random_orthogonal,11,linear,15.455087661743164,4,non-uniform codebook,block_rms
4,uniform integer-like,last_dim_block_absmax,W4A4,128,block-wise uniform fake quant; future INT mapping is plausible,0.9873306155204773,model.layers.0.mlp.down_proj,direct_absmax,direct_absmax_w4a4,,0.02527344599366188,none,none,,linear,15.973356246948242,4,uniform integer-like,last_dim_block_absmax
