a_bits,compute_interpretation,ip_bias,ip_relative_mse,ip_variance,k_bits,k_proj_relative_mse,key_relative_mse,kv_bits,kv_method,layer,layer_index,layer_output_cosine,layer_output_relative_mse,linear_bits,linear_method,method,method_key,output_cosine,output_relative_mse,pre_o_output_cosine,pre_o_output_relative_mse,projection_cosine,projection_relative_mse,q_proj_relative_mse,score_mse,score_relative_mse,softmax_kl,topk_overlap,v_bits,v_proj_relative_mse,value_path,value_relative_mse,w_bits
16,KV-only HLM K4V4 with value reconstruction,0.08991822600364685,0.0037110536359250546,2.331153154373169,4,4.1980918297213066e-08,0.009811338037252426,K4V4,hadamard_lm,model.layers.1.self_attn,1,0.9881271123886108,0.023613877594470978,FP16,fp16,attn_kv_only_hlm_k4v4_reconstruct,attn_kv_only_hlm_k4v4_reconstruct,0.9862654805183411,0.027396731078624725,0.9862636923789978,0.027396032586693764,1.0000011324882507,4.194070513108272e-08,4.1870617195627347e-08,0.03655059635639191,0.0037110536359250546,0.010760251432657242,0.926025390625,4,4.1970579900407756e-08,reconstruct,0.008697360754013062,16
16,KV-only HLM K4V4 with value rotation absorbed into o_proj,0.08991822600364685,0.0037110536359250546,2.331153154373169,4,4.1980918297213066e-08,0.009811338037252426,K4V4,hadamard_lm,model.layers.1.self_attn,1,0.9881266951560974,0.023613806813955307,FP16,fp16,attn_kv_only_hlm_k4v4_oabsorb,attn_kv_only_hlm_k4v4_oabsorb,0.9862654805183411,0.027396727353334427,0.9862636923789978,0.027396032586693764,1.0000011324882507,4.194070513108272e-08,4.1870617195627347e-08,0.03655059635639191,0.0037110536359250546,0.010760251432657242,0.926025390625,4,4.1970579900407756e-08,o_proj_absorb,0.008697360754013062,16
16,KV-only HLM K3V4 with value rotation absorbed into o_proj,0.3778601586818695,0.013474526815116405,8.350801467895508,3,4.1980918297213066e-08,0.035587359219789505,K3V4,hadamard_lm,model.layers.1.self_attn,1,0.9716758728027344,0.05598814785480499,FP16,fp16,attn_kv_only_hlm_k3v4_oabsorb,attn_kv_only_hlm_k3v4_oabsorb,0.9683239459991455,0.06241244822740555,0.968322217464447,0.0624116025865078,1.0000011324882507,4.194070513108272e-08,4.1870617195627347e-08,0.13271217048168182,0.013474526815116405,0.03539542481303215,0.873291015625,4,4.1970579900407756e-08,o_proj_absorb,0.008697360754013062,16
16,KV-only HLM K4V3 with value rotation absorbed into o_proj,0.08991822600364685,0.0037110536359250546,2.331153154373169,4,4.1980918297213066e-08,0.009811338037252426,K4V3,hadamard_lm,model.layers.1.self_attn,1,0.9800983667373657,0.03946452960371971,FP16,fp16,attn_kv_only_hlm_k4v3_oabsorb,attn_kv_only_hlm_k4v3_oabsorb,0.9750720262527466,0.0494079664349556,0.9750704765319824,0.04940677434206009,1.0000011324882507,4.194070513108272e-08,4.1870617195627347e-08,0.03655059635639191,0.0037110536359250546,0.010760251432657242,0.926025390625,3,4.1970579900407756e-08,o_proj_absorb,0.031136710196733475,16
4,rotated LM W4A4 plus HLM K4V4 with value rotation absorbed into o_proj,0.665898323059082,0.006823914125561714,3.8579888343811035,4,0.0008922541746869683,0.010728058405220509,K4V4,hadamard_lm,model.layers.1.self_attn,1,0.8648726940155029,0.3004189729690552,W4A4,rot_lm,attn_rot_lm_w4a4_hlm_k4v4_oabsorb,attn_rot_lm_w4a4_hlm_k4v4_oabsorb,0.6531463265419006,1.2263236045837402,0.6531451940536499,1.2263226509094238,0.9636613726615906,0.08415948417192946,0.002399429213255644,0.06720951944589615,0.006823914125561714,0.014444215223193169,0.915478527545929,4,0.24918676912784576,o_proj_absorb,0.2577706277370453,4
4,rotated LM W3A4 plus HLM K3V4 with value rotation absorbed into o_proj,1.4139249324798584,0.021709393709897995,11.685189247131348,3,0.0025586746633052826,0.03802308440208435,K3V4,hadamard_lm,model.layers.1.self_attn,1,0.6876220703125,0.7851446866989136,W3A4,rot_lm,attn_rot_lm_w3a4_hlm_k3v4_oabsorb,attn_rot_lm_w3a4_hlm_k3v4_oabsorb,0.4230586588382721,3.4276962280273438,0.4230588972568512,3.42769193649292,0.9287939270337423,0.18748718484615287,0.006031367462128401,0.21381832659244537,0.021709393709897995,0.04096345603466034,0.8647216558456421,4,0.5538715124130249,o_proj_absorb,0.5587705969810486,3
3,rotated LM W4A3 plus HLM K4V3 with value rotation absorbed into o_proj,0.7080278992652893,0.013654847629368305,8.105938911437988,4,0.004400961566716433,0.01430379506200552,K4V3,hadamard_lm,model.layers.1.self_attn,1,0.7875882387161255,0.530403733253479,W4A3,rot_lm,attn_rot_lm_w4a3_hlm_k4v3_oabsorb,attn_rot_lm_w4a3_hlm_k4v3_oabsorb,0.5916077494621277,1.676269769668579,0.5916064977645874,1.6762701272964478,0.9305467406908671,0.1986368247307837,0.008496097289025784,0.13448816537857056,0.013654847629368305,0.027158480137586594,0.88232421875,3,0.5830134153366089,o_proj_absorb,0.5983583331108093,4
16,baseline,0.0,0.0,0.0,16,0.0,0.0,K16V16,fp16,model.layers.2.self_attn,2,1.0,0.0,FP16,fp16,fp16,fp16,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,0.0,reference,0.0,16
16,identity attention wrapper; no quantization,-0.0009741313988342881,1.1470814342828817e-07,3.0091574444668368e-05,16,4.233670125586286e-08,1.254217494306431e-07,K16V16,fp16,model.layers.2.self_attn,2,1.0000090599060059,3.2390585147368256e-07,FP16,fp16,attn_identity_fp16,attn_identity_fp16,1.00001859664917,2.7204566777072614e-07,1.0000156164169312,3.1063595429259294e-07,1.0000003576278687,4.310624746040048e-08,4.336669334747967e-08,4.850078880735964e-07,1.1470814342828817e-07,9.985816973312467e-08,0.9996582269668579,16,4.3615347777858915e-08,reconstruct,4.3615347777858915e-08,16
16,KV-only HLM K4V4 with value reconstruction,0.13148361444473267,0.006495258305221796,1.7403560876846313,4,4.233670125586286e-08,0.009290311485528946,K4V4,hadamard_lm,model.layers.2.self_attn,2,0.9906160831451416,0.018715811893343925,FP16,fp16,attn_kv_only_hlm_k4v4_reconstruct,attn_kv_only_hlm_k4v4_reconstruct,0.987838864326477,0.024299295619130135,0.987835705280304,0.024299796670675278,1.0000003576278687,4.310624746040048e-08,4.336669334747967e-08,0.027463188394904137,0.006495258305221796,0.007800105027854443,0.9369872808456421,4,4.3615347777858915e-08,reconstruct,0.009321769699454308,16
